CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,airfoil,Cl,Cd,Alpha,Re
0.0,0.04774085170115386,0.06856678874218343,0.032866091170486715,0.022769204685899033,0.00105,0.0,-0.04805198641344735,-0.06774670376950467,-0.03376030525259544,-0.022406249406887256,-0.00105,naca1410,-1.1211088123135182,0.0156694411794427,-9.80415758506384,3000000
0.0,0.04774085170115386,0.06856678874218343,0.032866091170486715,0.022769204685899033,0.00105,0.0,-0.04805198641344735,-0.06774670376950467,-0.03376030525259544,-0.022406249406887256,-0.00105,naca1410,-1.092090777094048,0.0150907824126028,-9.80415758506384,3000000
0.0,0.04774085170115386,0.06856678874218343,0.032866091170486715,0.022769204685899033,0.00105,0.0,-0.04805198641344735,-0.06774670376950467,-0.03376030525259544,-0.022406249406887256,-0.00105,naca1410,-1.080653756761213,0.0145694576669627,-9.80415758506384,3000000
0.0,0.04774085170115386,0.06856678874218343,0.032866091170486715,0.022769204685899033,0.00105,0.0,-0.04805198641344735,-0.06774670376950467,-0.03376030525259544,-0.022406249406887256,-0.00105,naca1410,-1.057541444838609,0.0139326139101483,-9.80415758506384,3000000
0.0,0.04774085170115386,0.06856678874218343,0.032866091170486715,0.022769204685899033,0.00105,0.0,-0.04805198641344735,-0.06774670376950467,-0.03376030525259544,-0.022406249406887256,-0.00105,naca1410,-1.0284893708681475,0.0134119273910892,-9.80415758506384,3000000
0.0,0.04774085170115386,0.06856678874218343,0.032866091170486715,0.022769204685899033,0.00105,0.0,-0.04805198641344735,-0.06774670376950467,-0.03376030525259544,-0.022406249406887256,-0.00105,naca1410,-0.9994032581466964,0.012949213119811,-9.80415758506384,3000000
0.0,0.04774085170115386,0.06856678874218343,0.032866091170486715,0.022769204685899033,0.00105,0.0,-0.04805198641344735,-0.06774670376950467,-0.03376030525259544,-0.022406249406887256,-0.00105,naca1410,-0.982026475766005,0.0125440456119263,-9.80415758506384,3000000
0.0,0.04774085170115386,0.06856678874218343,0.032866091170486715,0.022769204685899033,0.00105,0.0,-0.04805198641344735,-0.06774670376950467,-0.03376030525259544,-0.022406249406887256,-0.00105,naca1410,-0.952089162842994,,-9.80415758506384,3000000
0.0,0.04774085170115386,0.06856678874218343,0.032866091170486715,0.022769204685899033,0.00105,0.0,-0.04805198641344735,-0.06774670376950467,-0.03376030525259544,-0.022406249406887256,-0.00105,naca1410,-0.9353933869089092,0.0119660250716675,-9.604445070218814,3000000
0.0,0.04774085170115386,0.06856678874218343,0.032866091170486715,0.022769204685899033,0.00105,0.0,-0.04805198641344735,-0.06774670376950467,-0.03376030525259544,-0.022406249406887256,-0.00105,naca1410,-0.8989698824334209,,-9.168752251449114,3000000
0.0,0.04774085170115386,0.06856678874218343,0.032866091170486715,0.022769204685899033,0.00105,0.0,-0.04805198641344735,-0.06774670376950467,-0.03376030525259544,-0.022406249406887256,-0.00105,naca1410,-0.8946660213486795,0.0113298195414342,-9.1319228216643,3000000
